steamid,num_games_owned,playtime_forever
76561199446427330,1,6675
76561199530192892,1,2651
76561199447203014,0,6266
76561199108843382,5,3874
76561198063941528,766,52825
76561199105987580,19,14224
76561198859660822,13,3632
76561198032734766,643,1606
76561198870462734,5,8883
76561199095018610,5,2834
76561199274163560,43,1124
76561199229000161,6,1510
76561198299894404,7,1819
76561198952403159,33,1459
76561199447074157,7,10011
76561198986682391,48,10892
76561198811823963,112,3804
76561198829334191,12,1557
76561198288293170,8,5046
76561199057826011,28,26112
76561199101371529,63,8074
76561198376399845,158,36634
76561199532706516,23,8515
76561198873911976,4,2706
76561199370026359,25,3620
76561198390321910,71,47623
76561198254389705,48,53252
76561198815005412,35,843
76561199407770390,43,790
76561198451528215,96,16940
76561198851653370,10,1897
76561198861749945,12,7025
76561197978409479,202,7667
76561198798757231,51,2810
76561198262901314,18,7697
76561199142523470,51,5891
76561198930932334,7,13893
76561199230505194,12,12695
76561199508580869,7,448
76561199155928771,16,8360
76561198127242939,87,35681
76561199220772834,8,5887
76561199050728223,28,38825
76561198878120348,9,17929
76561198319548030,4,979
76561198886032758,198,15062
76561198418634171,22,9784
76561198979162085,21,5746
76561198884708388,59,593
76561198799158939,47,83253
76561199239207772,4,11558
76561198065555471,75,64039
76561199380076911,3,10562
76561199000665594,17,911
76561198810860882,18,5385
76561199472003431,1,2805
76561199153334137,11,12763
76561199342010186,11,13568
76561199383280029,4,1141
76561199119318483,4,1274
76561198439059019,12,11952
76561199219276976,9,3149
76561199058617866,62,3234
76561199080838846,47,5556
76561198410855659,3,10868
76561199466523948,28,1297
76561199092628170,3,39496
76561198180631001,29,42527
76561198400786955,37,79023
76561199214766360,1,9107
76561198431825233,24,9808
76561198204860572,119,12991
76561198884058231,11,9217
76561197960492350,112,42512
76561199229486638,4,4476
76561199109801149,10,16775
76561198216408277,117,7146
76561199217088903,8,16192
76561199065411641,83,1766
76561199224039338,26,10671
76561198133235920,15,1973
76561199205530453,34,4623
76561198004489691,227,34834
76561198880933257,94,14356
76561198798381449,7,4575
76561198880361397,40,3940
76561199051375548,19,28430
76561199079995256,17,177063
76561199149620634,10,11298
76561198427436196,631,485
76561199465620182,4,434
76561199074002346,96,24397
76561199057349639,22,22081
76561198819447389,90,19100
76561198419794877,16,11712
76561199098720372,150,29406
76561199149443652,1,2018
76561198017254674,533,3331
76561199097239559,29,672
76561199185248772,19,6567
76561199029329748,12,5453
76561199109592848,10,1381
76561199444504495,23,13388
76561199059553393,22,2275
76561198868233966,25,2721
76561198018555919,2482,2647
76561198803439524,16,6682
76561198409927684,33,5963
76561198302593050,51,9619
76561198094143078,21,3039
76561198163389831,51,8235
76561198982534075,29,7615
76561199070827623,37,18643
76561199107916963,4,2912
76561199387827470,26,1335
76561198393855222,25,12529
76561199071017836,13,8632
76561198963131820,8,31302
76561199094120337,21,2485
76561199238503752,382,40398
76561198320223752,102,25054
76561199513889128,5,1880
76561199190149771,4,31567
76561199160496520,15,4908
76561199545902457,8,2254
76561198040844413,191,60420
76561198917225850,229,2612
76561199100080766,32,8096
76561198101315707,185,12545
76561199044372447,75,1557
76561199034882677,20,7069
76561199076470983,18,19936
76561199522230214,2,2111
76561199236790259,6,4583
76561198273963021,55,61232
76561198968007034,26,8705
76561199086889084,513,2136
76561199110093202,65,72289
76561199055424323,18,1782
76561199306439809,248,7016
76561198052477382,45,22872
76561198966709454,34,1251
76561198322518108,306,7754
76561198973885601,17,5704
76561198357569350,74,21842
76561199176762235,86,6347
76561199206604883,10,3754
76561198983027821,15,7006
76561198857712247,19,21857
76561199030838085,17,7954
76561198384412994,18,40357
76561199162443836,1,12699
76561198348518181,90,6165
76561198987207540,14,656
76561198004971418,65,9477
76561198367251077,64,23045
76561198287385065,55,11796
76561199415378764,2,4490
76561199457815058,4,4204
76561199526349828,1,3773
76561199084483883,6,9633
76561198285507996,11,5514
76561198069616763,162,2740
76561199227764329,25,4384
76561198364706359,36,10353
